text,url,description,parent_section,link_type,page_title
Skip to main content |,https://ncert.nic.in#content,,,internal,NCERT
Skip to navigation |,https://ncert.nic.in#navigation,,,internal,NCERT
Screen Reader Access |,https://ncert.nic.in/screen-reader.php,,,internal,NCERT
Text Size:,https://ncert.nic.in,,,internal,NCERT
A,https://ncert.nic.in,,,internal,NCERT
Site View:,https://ncert.nic.in,,,internal,NCERT
A,https://ncert.nic.in,,,internal,NCERT
Language -,https://ncert.nic.in,,,internal,NCERT
en,https://ncert.nic.in?ln=en,,,internal,NCERT
hi,https://ncert.nic.in?ln=hi,,,internal,NCERT
NCERT,https://ncert.nic.in,,,internal,NCERT
Home (current),https://ncert.nic.in/?ln=en,,,internal,NCERT
About,https://ncert.nic.in,,,internal,NCERT
About Us,https://ncert.nic.in/about-us.php?ln=en,,,internal,NCERT
Management,https://ncert.nic.in/management.php?ln=en,,,internal,NCERT
Senior Functionaries,https://ncert.nic.in/senior-functionaries.php?ln=en,,,internal,NCERT
Disclosure Under RTI,https://ncert.nic.in/disclo_un_rti.php?ln=en,,,internal,NCERT
Constituents and Departments,https://ncert.nic.in,,,internal,NCERT
National Institute of Education,https://ncert.nic.in/national-institute-education.php?ln=en,,,internal,NCERT
Regional Institutes of Education,https://ncert.nic.in/regional-institutes-education.php?ln=en,,,internal,NCERT
Central Institute of Educational Technology,https://ciet.ncert.gov.in/,,,external,NCERT
PSS Central Institute of Vocational Education,https://ncert.nic.in/pss-vocational-education.php?ln=en,,,internal,NCERT
PARAKH,https://ncert.nic.in/parakh/index.php?ln=en,,,internal,NCERT
Programmes,https://ncert.nic.in,,,internal,NCERT
National Talent Search Examination,https://ncert.nic.in/national-talent-examination.php?ln=en,,,internal,NCERT
All India School Education Survey,https://ncert.nic.in/all-india-school-education-survey.php?ln=en,,,internal,NCERT
Promoting Teacher Innovation,https://ncert.nic.in/teacher-innovation.php?ln=en,,,internal,NCERT
Rashtriya Bal Vaigyanik Pradarshani,https://ncert.nic.in/jn-national-science-exhibition.php?ln=en,,,internal,NCERT
Media Programmes,https://ncert.nic.in/media-programmes.php?ln=en,,,internal,NCERT
Research Grants (ERIC),https://ncert.nic.in/research-grants-(ERIC).php?ln=en,,,internal,NCERT
Programme Advisory Committee,https://ncert.nic.in/programme-advisory-committee.php?ln=en,,,internal,NCERT
Gallery,https://ncert.nic.in,,,internal,NCERT
Implementation of NEP - 2020,https://ncert.nic.in/ncf_mandate_gallery.php?ln=en,,,internal,NCERT
International Yoga Day,https://ncert.nic.in/international-yoga.php?ln=en,,,internal,NCERT
Kala Utsav,https://ncert.nic.in/kala-utsav.php?ln=en,,,internal,NCERT
Foundation Day,https://ncert.nic.in/FoundationDay.php,,,internal,NCERT
Launch of eRaksha,https://ncert.nic.in/eRaksha.php,,,internal,NCERT
Health and Well-Being,https://ncert.nic.in/healthandwell.php,,,internal,NCERT
Rashtriya Bal Vaigyanik Pradarshani(RBVP),https://ncert.nic.in/rbvp_gallery.php,,,internal,NCERT
Publication,https://ncert.nic.in,,,internal,NCERT
List of Publication,https://ncert.nic.in/list-publication.php?ln=en,,,internal,NCERT
ePub,https://epathshala.nic.in//pages.php?id=download-app&ln=en,,,external,NCERT
Flipbook,https://epathshala.nic.in//process.php?id=students&type=eTextbooks&ln=en,,,external,NCERT
PDF(I-XII),https://ncert.nic.in/textbook.php,,,internal,NCERT
State/ Uts eBook (epub),https://ncert.nic.in/state-uts-eBook.php?ln=en,,,internal,NCERT
Vocational Education,https://ncert.nic.in/vocational-education.php?ln=en,,,internal,NCERT
CCE Packages,https://ncert.nic.in/dee/cce-package.php?ln=en,,,internal,NCERT
Bridge Course Package,https://ncert.nic.in/dee/bridge-course-package.php?ln=en,,,internal,NCERT
Barkha Series,https://ncert.nic.in/dee/barkha-series.php?ln=en,,,internal,NCERT
Other Publications,https://ncert.nic.in/other-publications.php?ln=en,,,internal,NCERT
Journals and Periodicals,https://ncert.nic.in/journals-and-periodicals.php?ln=en,,,internal,NCERT
Non-Print Materials,https://ncert.nic.in/non-Print-materials.php?ln=en,,,internal,NCERT
Information to Customers,https://ncert.nic.in/information-customers.php?ln=en,,,internal,NCERT
Childrens Book,https://ncert.nic.in/childrens-book.php?ln=en,,,internal,NCERT
Model Question Papers,https://ncert.nic.in/model-question-papers.php?ln=en,,,internal,NCERT
Books Indent Form,https://ncert.nic.in/books-indent-form.php?ln=en,,,internal,NCERT
School Kits,https://ncert.nic.in/division/dek/kit-manuals.php?ln=en,,,internal,NCERT
Exemplar Problems,https://ncert.nic.in/exemplar-problems.php?ln=en,,,internal,NCERT
Laboratory Manuals,https://ncert.nic.in/science-laboratory-manual.php?ln=en,,,internal,NCERT
50 years of NCERT,https://ncert.nic.in/pdf/leading_the_change.pdf,,,internal,NCERT
Results Framework Document,https://ncert.nic.in/result-framework-doc.php?ln=en,,,internal,NCERT
